Dataset,Round,Optimizer,Epochs,Lr_rate,Hidden_Nodes,Bitwise_test_acc,Mean_byte_error
dataset-5,1,RMSprop,20,0.0018,25,67.41341098070889,0.34155593922019123
dataset-5,2,RMSprop,10,0.0011,25,67.78458862469198,0.346519143543454
dataset-5,3,RMSprop,20,0.001,25,66.36253021788579,0.34909665348680163
dataset-5,4,Adam,20,0.0014,25,64.29261943963395,0.3626690194615081
dataset-5,5,Adam,20,0.003118621158553604,15,63.98601757169622,0.36030429988699914
dataset-5,6,RMSprop,40,0.001068582060667167,10,64.16170443214953,0.3675911293183907
dataset-5,7,Adam,60,0.003042981563947426,15,63.711706438236924,0.372569857495996
dataset-5,8,Adam,60,0.004548594213364623,25,63.706876917363005,0.3711999153038429
dataset-5,9,Adam,30,0.0024665396749195302,15,63.51488216837643,0.3691219858166681
dataset-5,10,RMSprop,10,0.0007144658896954177,20,63.43679423094538,0.37570233171377454
dataset-5,11,RMSprop,60,0.003556196839494542,20,63.28081795129059,0.3732811113313554
dataset-5,12,Adam,40,0.0016014058789153582,10,62.88295705870836,0.3729497958812886
dataset-5,13,Adam,20,0.0020867571424892715,15,62.85342685887261,0.37067772535191285
dataset-5,14,Adam,40,0.0007483240974167166,15,62.60614353460244,0.3792173402701206
dataset-5,15,Adam,30,0.002252498162948801,15,62.43787991564981,0.3761139459212406
dataset-5,16,RMSprop,10,0.0007504724764714069,25,62.508120824962184,0.37731572483068065
dataset-5,17,RMSprop,20,0.0021960003928223277,15,62.27965700329251,0.3962149524811014
dataset-5,18,RMSprop,40,0.000501605613868992,10,62.169579022112316,0.3802805319203236
dataset-5,19,RMSprop,30,0.0035218260029741704,10,61.970352048744665,0.3844835229598953
dataset-5,20,RMSprop,20,0.0017,25,61.80529281417274,0.397311133312175
dataset-5,21,Adam,20,0.002240697325971392,25,61.76708671778593,0.382881855492221
dataset-5,22,RMSprop,30,0.0033179192461026586,15,61.97818988536517,0.385952389718968
dataset-5,23,RMSprop,50,0.0009505922132681294,20,61.74211924533646,0.3913779892590132
dataset-5,24,RMSprop,50,0.0026038745852512775,10,61.90868022324873,0.3964793725497875
dataset-5,25,RMSprop,60,0.0021081150763155028,20,61.84841999332781,0.3846656762000662
dataset-5,26,Adam,40,0.0038544787462863623,25,62.12108425597526,0.39084624349688857
dataset-5,27,Adam,50,0.0008215862335966467,20,61.946281478210636,0.3980968985093992
dataset-5,28,Adam,50,0.0006206003414514837,20,62.18364092915668,0.381370505247821
dataset-5,29,Adam,10,0.0011508461468810011,25,62.15348745476109,0.39484098856298167
dataset-5,30,Adam,40,0.0008898398264920704,20,62.216810473184395,0.3880319325402549
dataset-5,31,RMSprop,10,0.0015,25,62.316569353811296,0.38700379901287923
dataset-5,32,RMSprop,10,0.0010922633481508525,20,62.17554450145324,0.3971767326932161
dataset-5,33,Adam,10,0.002314284928527245,20,61.683556371735335,0.3991556870242625
dataset-5,34,RMSprop,10,0.00221178073373148,10,61.542558364686734,0.3843824054587245
dataset-5,35,Adam,20,0.0009664650869804902,10,61.55534644862108,0.3924289001419943
dataset-5,36,Adam,10,0.003968429030795328,20,61.30805413405514,0.3909445255881709
dataset-5,37,RMSprop,50,0.002504276026551479,25,60.787058348239555,0.39134030238461426
dataset-5,38,RMSprop,40,0.0023812421854388106,20,60.8741197601082,0.41065101386779007
dataset-5,39,Adam,30,0.0008292774293131655,15,60.610994535518955,0.403074687921188
dataset-5,40,RMSprop,20,0.0011102496584515463,15,60.21549318319935,0.40661003755218467
dataset-5,41,Adam,30,0.0007819201286718512,10,60.31313302123536,0.4124271080311127
dataset-5,42,RMSprop,20,0.0012,25,59.923682183365855,0.4115388745272437
dataset-6,1,RMSprop,40,0.0019,15,62.32221693274372,0.38851919360637877
dataset-6,2,Adam,30,0.0016,15,62.69777466410253,0.38343077173985113
dataset-6,3,Adam,20,0.0011,15,61.65783298052661,0.39901823338302395
dataset-6,4,Adam,10,0.0011,15,60.99060047725765,0.4039358402107253
dataset-6,5,Adam,30,0.004577614602881551,15,61.16892489781128,0.4085131307067323
dataset-6,6,RMSprop,40,0.002414466419874361,15,60.91549602623712,0.40171138992371047
dataset-6,7,RMSprop,40,0.0011505321055872632,25,61.089034910587095,0.3994161549267129
dataset-6,8,RMSprop,60,0.0006552951226191804,15,61.186714837498066,0.3934720907496326
dataset-6,9,RMSprop,60,0.002228186008528524,25,61.15030848597605,0.39476122314637185
dataset-6,10,RMSprop,30,0.0019105309672209276,25,61.11665057664777,0.4062485771492007
dataset-6,11,RMSprop,60,0.0035182611599246585,25,60.93387375091272,0.3952228814400941
dataset-6,12,RMSprop,10,0.0016097856230900278,25,61.17811099601279,0.3990595685117701
dataset-6,13,RMSprop,10,0.0006472023719470929,20,61.21676634354284,0.40427597555326755
dataset-6,14,RMSprop,30,0.001529031761243695,10,60.81560201226364,0.39507449012569174
dataset-6,15,RMSprop,20,0.0015884346236235917,10,60.87850995556958,0.4081812450114895
dataset-6,16,Adam,50,0.001590342913271545,25,61.13008335336302,0.4010953564815838
dataset-6,17,Adam,30,0.0006573203807036663,20,61.00624482740334,0.39856578677596616
dataset-6,18,Adam,10,0.0018794048152609537,25,60.84341739529356,0.40113556139060086
dataset-6,19,RMSprop,30,0.0012984736636483132,20,61.083536205627546,0.4075731324313542
dataset-6,20,Adam,20,0.001,15,61.058403084736455,0.3961170298374673
dataset-6,21,RMSprop,30,0.0005329320547378953,10,61.08424297020072,0.40605129198596923
dataset-6,22,Adam,20,0.0005613749698299582,15,61.06879893326112,0.394103665525566
dataset-6,23,RMSprop,50,0.0007242647020474439,25,60.71281837453848,0.39309792360974877
dataset-6,24,Adam,60,0.0012409424549590653,15,60.85135004195661,0.3929511688211351
dataset-6,25,RMSprop,50,0.0022312460792337464,20,60.723076333097005,0.3979011793420703
dataset-6,26,Adam,10,0.002673130813361746,20,60.92591839659841,0.40317840535174937
dataset-6,27,Adam,30,0.001464071175203807,20,60.629737293354275,0.4035333128978995
dataset-6,28,Adam,10,0.004341579592155241,20,60.55619379966546,0.41004493369276
dataset-6,29,RMSprop,10,0.0031677459933433173,25,60.83056938871434,0.397324805013731
dataset-6,30,Adam,30,0.0005549919924399821,10,60.67301855032502,0.4023676922659278
dataset-6,31,Adam,10,0.0019,15,60.64659572364902,0.3980372039108691
dataset-6,32,RMSprop,30,0.0017209041320312745,25,60.5380557056656,0.40642372927072834
dataset-6,33,Adam,20,0.0016508485997774357,20,60.493186504785875,0.40696805535969294
dataset-6,34,RMSprop,30,0.0008820213528248085,20,60.45849013959746,0.40504639655655983
dataset-6,35,RMSprop,50,0.0007966201081123184,20,60.43019892612655,0.40431306769808006
dataset-6,36,RMSprop,30,0.0010644039690950132,20,60.42919107023358,0.4026854737443254
dataset-6,37,RMSprop,30,0.0006378357405497972,25,60.26461068565184,0.40331583065968246
dataset-6,38,Adam,50,0.0011269287975945832,15,60.59637862952966,0.40684359104946
dataset-6,39,RMSprop,20,0.0005173805844177127,20,60.466670253789786,0.40634082176501
dataset-6,40,RMSprop,20,0.0008637224351960678,15,60.391941299800465,0.4167699427535968
dataset-6,41,RMSprop,40,0.002477982882180527,10,60.39255184785503,0.41619520106894997
dataset-6,42,RMSprop,30,0.0011,15,60.283323101818375,0.4170516201599043
dataset-7,1,Adam,20,0.0016,25,65.0,0.36805189033202446
dataset-7,2,RMSprop,30,0.0013,25,61.8158417749585,0.3952907274995144
dataset-7,3,RMSprop,20,0.005,25,60.65808884287239,0.4033193136797767
dataset-7,4,RMSprop,40,0.0016,25,60.831960634975786,0.38385808846768243
dataset-7,5,RMSprop,20,0.004332896890755069,25,61.057913056001595,0.3814299482866186
dataset-7,6,RMSprop,60,0.0026186148614208695,20,60.98009760020067,0.37831009820816525
dataset-7,7,RMSprop,40,0.001677495291901495,20,60.785248230377825,0.3974812447061328
dataset-7,8,RMSprop,30,0.00101629883947753,15,60.76233517793729,0.39189829110024493
dataset-7,9,RMSprop,20,0.0025581490558321007,15,60.64710287138952,0.3830216960880701
dataset-7,10,RMSprop,20,0.0008216739136371589,25,60.79736915512218,0.39967378156540334
dataset-7,11,Adam,20,0.0005423894542601418,20,60.49023351256566,0.3883944739425453
dataset-7,12,RMSprop,30,0.0005084111803715341,15,60.68809608134002,0.40306977861263044
dataset-7,13,RMSprop,10,0.0009251411046011558,20,60.67056953192272,0.3931732816678911
dataset-7,14,RMSprop,50,0.0023614775050056673,15,60.572906145112505,0.40620150937404126
dataset-7,15,Adam,50,0.0013769105148037284,15,60.44685984237889,0.3983410929380577
